event,Range,RangeRate,Speed,LaneDistanceLeft,LaneDistanceRight,Crossing,End of event,Along_s,Alat_s,Driving style
1,61.75,-2.375,32.60278,-1.277344,2.289063,0,0,-0.137635212418301,-0.42909477124183,1
1,61.375,-2.5,32.625,-1.179688,2.359375,0,0,-0.323464169000934,-0.439306605975724,1
1,61.25,-2.5,32.68611,-1.152344,2.394531,0,0,-0.449385374021404,-0.438680461287079,1
1,61,-2.8125,32.66389,-1.132813,2.4375,0,0,-0.523790921496804,-0.429436202686203,1
1,60.8125,-2.8125,32.67222,-1.101563,2.492188,0,0,-0.555072905444229,-0.413793695683402,1
1,60.375,-2.9375,32.71667,-1,2.59375,0,0,-0.551623419880773,-0.393972805788982,1
1,60.1875,-2.9375,32.67222,-0.953125,2.652344,0,0,-0.52183455882353,-0.372193398513252,1
1,60,-2.9375,32.70834,-0.9101563,2.699219,0,0,-0.474098416289593,-0.350675339366516,1
1,59.625,-2.875,32.76111,-0.8085938,2.8125,0,0,-0.464658371040724,-0.349023755656109,1
1,59.4375,-2.9375,32.75278,-0.7734375,2.824219,0,0,-0.383252262443439,-0.3585407239819,1
1,59.25,-2.875,32.76111,-0.7421875,2.847656,0,0,-0.328151583710407,-0.285721719457014,1
1,59.1875,-2.875,32.80556,-0.7148438,2.871094,0,0,-0.280997737556561,-0.307445701357466,1
1,59.0625,-2.875,32.78333,-0.6289063,2.953125,0,0,-0.261970588235294,-0.315281674208145,1
1,58.875,-3,32.74722,-0.59375,2.984375,0,0,-0.193829185520362,-0.352540723981901,1
1,58.625,-2.9375,32.79722,-0.546875,2.992188,0,0,-0.25893665158371,-0.372915158371041,1
1,58.5,-2.9375,32.73056,-0.5,3.015625,0,0,-0.226795248868778,-0.349418552036199,1
1,58.1875,-3,32.76111,-0.4101563,3.066406,0,0,-0.172498868778281,-0.268952488687783,1
1,57.875,-2.9375,32.79167,-0.3671875,3.070313,0,0,-0.201548642533937,-0.194308823529412,1
1,57.5,-2.875,32.73889,-0.2695313,3.125,0,0,-0.1662092760181,-0.139938914027149,1
